date,model_id,author,company,pipeline_tag,downloads_30d,likes,like_ratio,growth_7d,market_share,velocity
2026-08-30,pyannote/wespeaker-voxceleb-resnet34-LM,pyannote,Community,unknown,6399743,162,0.0,-0.0352,0.004321,6274.3
2026-08-30,Qwen/Qwen2.5-0.5B-Instruct,Qwen,Alibaba,text-generation,6288902,606,0.0001,-0.0768,0.004246,8832.7
2026-08-30,pyannote/segmentation-3.0,pyannote,Community,voice-activity-detection,6011097,1578,0.0003,-0.0132,0.004058,5607.4
2026-08-30,meta-llama/Llama-3.1-8B-Instruct,meta-llama,Meta,text-generation,5944077,6704,0.0011,-0.0899,0.004013,7699.6
2026-08-30,Qwen/Qwen3.6-27B,Qwen,Alibaba,image-text-to-text,5769310,2282,0.0004,-0.1054,0.003895,44379.3
2026-08-30,ibm-granite/granite-embedding-small-english-r2,ibm-granite,Community,feature-extraction,5678333,78,0.0,0.1489,0.003834,13917.5
2026-08-30,autogluon/chronos-2,autogluon,Amazon,time-series-forecasting,5508107,48,0.0,-0.1109,0.003719,16844.4
2026-08-30,openai/gpt-oss-120b,openai,OpenAI,text-generation,5314695,5136,0.001,0.1022,0.003588,13627.4
2026-08-30,MiniMaxAI/MiniMax-H3,MiniMaxAI,Community,image-text-to-video,5263381,4639,0.0009,,0.003554,164480.7
2026-08-30,Qwen/Qwen3-4B,Qwen,Alibaba,text-generation,5253115,687,0.0001,0.0299,0.003547,10742.6
2026-08-30,pyannote/speaker-diarization-community-1,pyannote,Community,automatic-speech-recognition,5184462,1202,0.0002,-0.0208,0.0035,10348.2
2026-08-30,Qwen/Qwen3.8-27B-FP8,Qwen,Alibaba,image-text-to-text,5129402,725,0.0001,,0.003463,320587.6
2026-08-30,Qwen/Qwen3.6-35B-A3B,Qwen,Alibaba,image-text-to-text,4989470,2751,0.0006,-0.091,0.003369,36687.3
2026-08-30,ProsusAI/finbert,ProsusAI,Community,text-classification,4981741,1230,0.0002,0.044,0.003363,3035.8
2026-08-30,answerdotai/ModernBERT-base,answerdotai,Community,fill-mask,4974225,1088,0.0002,-0.082,0.003358,7946.0
2026-08-30,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,Comfy-Org,Community,image-to-video,4962397,851,0.0002,-0.0076,0.00335,12468.3
2026-08-30,google/gemma-4-E4B-it,google,Google,any-to-any,4955401,1520,0.0003,-0.074,0.003346,27530.0
2026-08-30,jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,jonatasgrosman,Community,automatic-speech-recognition,4872644,55,0.0,-0.031,0.00329,2969.3
2026-08-30,openai/whisper-large-v3,openai,OpenAI,automatic-speech-recognition,4831955,6202,0.0013,0.0582,0.003262,4709.5
2026-08-30,Qwen/Qwen3-32B,Qwen,Alibaba,text-generation,4817066,739,0.0002,,0.003252,9850.9
2026-08-30,dphn/dolphin-2.9.1-yi-1.5-34b,dphn,Community,text-generation,4805444,65,0.0,0.0452,0.003244,5768.8
2026-08-30,google/vit-base-patch16-224,google,Google,image-classification,4770208,994,0.0002,0.0022,0.003221,2906.9
